#Data Set Export - Rainfall.Continuous@A64971,,,,
"GENERAL TERMS AND CONDITIONS
1. Auckland Council owns the copyright on the data.
2. Auckland Council shall be acknowledged as the source of the data used in any publication, media statement or other documents, or oral statements which include the data and are made available to third parties, including the general public.
3. The data is provided with the understanding that it is for the sole use of the recipient, or its agents, and it is not intended that this data will be sold, lent or given to any third party other than for the purposes it is provided for. Data may not be sold to any third party in an unmodified form without agreement of Auckland Council.
4. The user of the data agrees to indemnify Auckland Council for any losses sustained as a consequence of a breach of any of these conditions.
5. A copy of these terms and conditions shall accompany any of the attached data which is made available to third parties.
DISCLAIMER
The data is supplied on the basis that it is accurate to the best of Auckland Council knowledge and belief. While Auckland Council has exercised all reasonable skill and care in compiling and providing this data, Auckland Council accepts no liability in contract, tort or otherwise howsoever, for any loss, damage, injury or expense (whether direct, indirect or consequential) arising out of the provision of this data or its use by you.
NOTE ON DATA
Data users are cautioned to consider carefully the nature of this data before using it for decisions that concern personal or public safety or the conduct of business that involves monetary or operational consequences.
Data users are cautioned to consider carefully using or interpreting this data for purposes other than that for which it was collected.  Auckland Council should be consulted to verify whether the data is being correctly interpreted.
DATA QUALITY
Data provided may include both measured and synthesised data. Measured data may also include data of different quality. Please request quality codes with your data set if you wish to identify these types of data.
",,,,
Timestamp (UTC+12:00),Value (Millimetres),Grade Code,Interpolation Type,Event Timestamp
1951-03-21 08:00:00,0,200,5,
1951-03-22 08:00:00,1.52,200,5,
1951-03-23 08:00:00,18.03,200,5,
1951-03-24 08:00:00,9.4,200,5,
1951-03-25 08:00:00,1.02,200,5,
1951-03-26 08:00:00,3.3,200,5,
1951-03-30 08:00:00,0,200,5,
1951-03-31 08:00:00,3.3,200,5,
1951-04-01 08:00:00,0,200,5,
1951-04-02 08:00:00,0.25,200,5,
1951-04-03 08:00:00,1.02,200,5,
1951-04-04 08:00:00,18.8,200,5,
1951-04-05 08:00:00,0,200,5,
1951-04-06 08:00:00,1.27,200,5,
1951-04-07 08:00:00,0,200,5,
1951-04-08 08:00:00,0.51,200,5,
1951-04-09 08:00:00,3.05,200,5,
1951-04-10 08:00:00,12.95,200,5,
1951-04-14 08:00:00,0,200,5,
1951-04-15 08:00:00,5.59,200,5,
1951-04-16 08:00:00,2.29,200,5,
1951-04-18 08:00:00,0,200,5,
1951-04-19 08:00:00,1.52,200,5,
1951-04-20 08:00:00,14.48,200,5,
1951-04-21 08:00:00,15.24,200,5,
1951-04-22 08:00:00,0,200,5,
1951-04-23 08:00:00,13.46,200,5,
1951-04-24 08:00:00,15.24,200,5,
1951-04-25 08:00:00,13.72,200,5,
1951-04-26 08:00:00,7.62,200,5,
1951-04-27 08:00:00,7.62,200,5,
1951-04-28 08:00:00,21.34,200,5,
1951-05-01 08:00:00,0,200,5,
1951-05-02 08:00:00,4.06,200,5,
1951-05-03 08:00:00,8.13,200,5,
1951-05-04 08:00:00,1.52,200,5,
1951-05-11 08:00:00,0,200,5,
1951-05-12 08:00:00,0,200,5,
1951-05-13 08:00:00,8.13,200,5,
1951-05-14 08:00:00,0.51,200,5,
1951-05-15 08:00:00,7.37,200,5,
1951-05-16 08:00:00,11.18,200,5,
1951-05-17 08:00:00,1.78,200,5,
1951-05-18 08:00:00,5.59,200,5,
1951-05-19 08:00:00,2.79,200,5,
1951-05-20 08:00:00,1.78,200,5,
1951-05-21 08:00:00,8.13,200,5,
1951-05-22 08:00:00,1.52,200,5,
1951-05-26 08:00:00,0,200,5,
1951-05-27 08:00:00,3.05,200,5,
1951-05-28 08:00:00,12.7,200,5,
1951-05-29 08:00:00,9.4,200,5,
1951-05-30 08:00:00,8.13,200,5,
1951-05-31 08:00:00,9.65,200,5,
1951-06-01 08:00:00,3.81,200,5,
1951-06-04 08:00:00,0,200,5,
1951-06-05 08:00:00,2.03,200,5,
1951-06-06 08:00:00,1.02,200,5,
1951-06-09 08:00:00,0,200,5,
1951-06-10 08:00:00,5.59,200,5,
1951-06-11 08:00:00,42.93,200,5,
1951-06-12 08:00:00,2.03,200,5,
1951-06-16 08:00:00,0,200,5,
1951-06-17 08:00:00,9.65,200,5,
1951-06-18 08:00:00,7.11,200,5,
1951-06-19 08:00:00,1.52,200,5,
1951-06-20 08:00:00,4.06,200,5,
1951-06-21 08:00:00,3.56,200,5,
1951-06-22 08:00:00,2.03,200,5,
1951-06-25 08:00:00,0,200,5,
1951-06-26 08:00:00,0.25,200,5,
1951-06-27 08:00:00,0,200,5,
1951-06-28 08:00:00,17.27,200,5,
1951-07-01 08:00:00,0,200,5,
1951-07-02 08:00:00,0.76,200,5,
1951-07-03 08:00:00,0,200,5,
1951-07-04 08:00:00,4.57,200,5,
1951-07-05 08:00:00,5.08,200,5,
1951-07-06 08:00:00,0.25,200,5,
1951-07-07 08:00:00,1.52,200,5,
1951-07-08 08:00:00,0,200,5,
1951-07-09 08:00:00,1.27,200,5,
1951-07-10 08:00:00,0,200,5,
1951-07-11 08:00:00,34.04,200,5,
1951-07-12 08:00:00,23.62,200,5,
1951-07-13 08:00:00,11.43,200,5,
1951-07-14 08:00:00,0,200,5,
1951-07-15 08:00:00,1.78,200,5,
1951-07-16 08:00:00,0.25,200,5,
1951-07-18 08:00:00,0,200,5,
1951-07-19 08:00:00,0.51,200,5,
1951-07-20 08:00:00,11.18,200,5,
1951-07-21 08:00:00,1.78,200,5,
1951-07-22 08:00:00,34.04,200,5,
1951-07-23 08:00:00,2.79,200,5,
1951-07-24 08:00:00,2.54,200,5,
1951-07-25 08:00:00,0.51,200,5,
1951-07-26 08:00:00,1.52,200,5,
1951-07-27 08:00:00,5.33,200,5,
1951-07-29 08:00:00,0,200,5,
1951-07-30 08:00:00,0.25,200,5,
1951-07-31 08:00:00,0.51,200,5,
1951-08-01 08:00:00,12.95,200,5,
1951-08-02 08:00:00,5.84,200,5,
1951-08-07 08:00:00,0,200,5,
1951-08-08 08:00:00,1.27,200,5,
1951-08-09 08:00:00,15.75,200,5,
1951-08-10 08:00:00,2.29,200,5,
1951-08-11 08:00:00,5.33,200,5,
1951-08-12 08:00:00,8.13,200,5,
1951-08-13 08:00:00,26.16,200,5,
1951-08-14 08:00:00,9.4,200,5,
1951-08-15 08:00:00,5.59,200,5,
1951-08-16 08:00:00,1.52,200,5,
1951-08-17 08:00:00,5.84,200,5,
1951-08-18 08:00:00,1.02,200,5,
1951-08-19 08:00:00,0,200,5,
1951-08-20 08:00:00,1.52,200,5,
1951-08-21 08:00:00,1.02,200,5,
1951-08-22 08:00:00,0,200,5,
1951-08-23 08:00:00,68.58,200,5,
1951-08-24 08:00:00,9.4,200,5,
1951-08-25 08:00:00,50.29,200,5,
1951-08-26 08:00:00,9.65,200,5,
1951-08-28 08:00:00,0,200,5,
1951-08-29 08:00:00,5.84,200,5,
1951-08-30 08:00:00,1.02,200,5,
1951-08-31 08:00:00,0,200,5,
1951-09-01 08:00:00,3.05,200,5,
1951-09-02 08:00:00,0,200,5,
1951-09-03 08:00:00,1.27,200,5,
1951-09-04 08:00:00,0,200,5,
1951-09-05 08:00:00,2.54,200,5,
1951-09-06 08:00:00,0.25,200,5,
1951-09-13 08:00:00,0,200,5,
1951-09-16 08:00:00,0,200,5,
1951-09-17 08:00:00,0.76,200,5,
1951-09-18 08:00:00,0.51,200,5,
1951-09-20 08:00:00,0,200,5,
1951-09-21 08:00:00,3.05,200,5,
1951-09-22 08:00:00,0,200,5,
1951-09-23 08:00:00,1.78,200,5,
1951-09-24 08:00:00,0.51,200,5,
1951-09-25 08:00:00,3.05,200,5,
1951-09-30 08:00:00,0,200,5,
1951-10-01 08:00:00,1.78,200,5,
1951-10-02 08:00:00,3.3,200,5,
1951-10-03 08:00:00,2.54,200,5,
1951-10-04 08:00:00,0.51,200,5,
1951-10-05 08:00:00,26.16,200,5,
1951-10-06 08:00:00,1.52,200,5,
1951-10-07 08:00:00,18.03,200,5,
1951-10-08 08:00:00,0.76,200,5,
1951-10-10 08:00:00,0,200,5,
1951-10-11 08:00:00,0.25,200,5,
1951-10-12 08:00:00,0,200,5,
1951-10-13 08:00:00,1.02,200,5,
1951-10-16 08:00:00,0,200,5,
1951-10-17 08:00:00,0.25,200,5,
1951-10-18 08:00:00,0,200,5,
1951-10-19 08:00:00,13.46,200,5,
1951-10-22 08:00:00,0,200,5,
1951-10-23 08:00:00,0.25,200,5,
1951-10-24 08:00:00,0.25,200,5,
1951-10-25 08:00:00,6.1,200,5,
1951-10-26 08:00:00,3.81,200,5,
1951-10-27 08:00:00,15.75,200,5,
1951-10-28 08:00:00,2.03,200,5,
1951-10-29 08:00:00,2.54,200,5,
1951-10-30 08:00:00,0,200,5,
1951-10-31 08:00:00,0.25,200,5,
1951-11-01 08:00:00,0.51,200,5,
1951-11-02 08:00:00,0,200,5,
1951-11-03 08:00:00,13.72,200,5,
1951-11-04 08:00:00,6.6,200,5,
1951-11-05 08:00:00,0,200,5,
1951-11-06 08:00:00,2.03,200,5,
1951-11-09 08:00:00,0,200,5,
1951-11-10 08:00:00,2.29,200,5,
1951-11-12 08:00:00,0,200,5,
1951-11-13 08:00:00,3.05,200,5,
1951-11-14 08:00:00,49.53,200,5,
1951-11-15 08:00:00,0,200,5,
1951-11-16 08:00:00,7.62,200,5,
1951-11-17 08:00:00,0,200,5,
1951-11-18 08:00:00,10.92,200,5,
1951-11-20 08:00:00,0,200,5,
1951-11-21 08:00:00,5.84,200,5,
1951-11-22 08:00:00,0,200,5,
1951-11-23 08:00:00,2.29,200,5,
1951-11-24 08:00:00,7.87,200,5,
1951-11-25 08:00:00,0,200,5,
1951-11-26 08:00:00,7.37,200,5,
1951-11-27 08:00:00,1.78,200,5,
1951-11-28 08:00:00,0.25,200,5,
1951-11-30 08:00:00,0,200,5,
1951-12-01 08:00:00,6.86,200,5,
1951-12-02 08:00:00,0,200,5,
1951-12-03 08:00:00,0.25,200,5,
1951-12-04 08:00:00,9.91,200,5,
1951-12-05 08:00:00,0.25,200,5,
1951-12-06 08:00:00,2.29,200,5,
1951-12-07 08:00:00,0.25,200,5,
1951-12-08 08:00:00,1.78,200,5,
1951-12-09 08:00:00,3.81,200,5,
1951-12-11 08:00:00,0,200,5,
1951-12-12 08:00:00,6.86,200,5,
1951-12-13 08:00:00,0,200,5,
1951-12-14 08:00:00,7.62,200,5,
1951-12-15 08:00:00,0,200,5,
1951-12-16 08:00:00,1.52,200,5,
1951-12-17 08:00:00,2.03,200,5,
1951-12-18 08:00:00,6.35,200,5,
1951-12-19 08:00:00,5.08,200,5,
1951-12-22 08:00:00,0,200,5,
1951-12-23 08:00:00,8.64,200,5,
1951-12-24 08:00:00,1.27,200,5,
1951-12-31 08:00:00,0,200,5,
1952-01-01 08:00:00,0,200,5,
1952-01-02 08:00:00,2.54,200,5,
1952-01-03 08:00:00,0,200,5,
1952-01-04 08:00:00,0.51,200,5,
1952-01-06 08:00:00,0,200,5,
1952-01-07 08:00:00,6.35,200,5,
1952-01-08 08:00:00,0,200,5,
1952-01-09 08:00:00,13.72,200,5,
1952-01-10 08:00:00,1.27,200,5,
1952-01-12 08:00:00,0,200,5,
1952-01-13 08:00:00,3.3,200,5,
1952-01-14 08:00:00,3.56,200,5,
1952-01-15 08:00:00,3.05,200,5,
1952-01-16 08:00:00,0,200,5,
1952-01-17 08:00:00,6.35,200,5,
1952-01-21 08:00:00,0,200,5,
1952-01-22 08:00:00,0.76,200,5,
1952-01-28 08:00:00,0,200,5,
1952-01-29 08:00:00,3.05,200,5,
1952-01-30 08:00:00,0.51,200,5,
1952-02-02 08:00:00,0,200,5,
1952-02-03 08:00:00,2.79,200,5,
1952-02-04 08:00:00,17.02,200,5,
1952-02-08 08:00:00,0,200,5,
1952-02-09 08:00:00,0.51,200,5,
1952-02-10 08:00:00,0,200,5,
1952-02-11 08:00:00,0.25,200,5,
1952-02-12 08:00:00,0.25,200,5,
1952-02-14 08:00:00,0,200,5,
1952-02-15 08:00:00,3.3,200,5,
1952-02-16 08:00:00,1.02,200,5,
1952-02-17 08:00:00,23.37,200,5,
1952-02-18 08:00:00,17.27,200,5,
1952-02-19 08:00:00,37.59,200,5,
1952-02-20 08:00:00,30.99,200,5,
1952-02-27 08:00:00,0,200,5,
1952-02-28 08:00:00,2.29,200,5,
1952-03-04 08:00:00,0,200,5,
1952-03-05 08:00:00,0.76,200,5,
1952-03-06 08:00:00,0.76,200,5,
1952-03-13 08:00:00,0,200,5,
1952-03-16 08:00:00,0,200,5,
1952-03-17 08:00:00,0.25,200,5,
1952-03-18 08:00:00,5.33,200,5,
1952-03-19 08:00:00,3.56,200,5,
1952-03-20 08:00:00,0.51,200,5,
1952-03-21 08:00:00,0.25,200,5,
1952-03-22 08:00:00,0.51,200,5,
1952-03-25 08:00:00,0,200,5,
1952-03-26 08:00:00,5.33,200,5,
1952-03-27 08:00:00,0,200,5,
1952-03-28 08:00:00,10.16,200,5,
1952-03-29 08:00:00,8.64,200,5,
1952-04-05 08:00:00,0,200,5,
1952-04-12 08:00:00,0,200,5,
1952-04-14 08:00:00,0,200,5,
1952-04-15 08:00:00,1.52,200,5,
1952-04-16 08:00:00,0.25,200,5,
1952-04-17 08:00:00,1.27,200,5,
1952-04-18 08:00:00,7.37,200,5,
1952-04-19 08:00:00,1.02,200,5,
1952-04-20 08:00:00,3.81,200,5,
1952-04-21 08:00:00,16.76,200,5,
1952-04-22 08:00:00,2.54,200,5,
1952-04-23 08:00:00,0.25,200,5,
1952-04-24 08:00:00,0,200,5,
1952-04-25 08:00:00,4.83,200,5,
1952-04-26 08:00:00,8.38,200,5,
1952-04-27 08:00:00,0,200,5,
1952-04-28 08:00:00,0.76,200,5,
1952-04-29 08:00:00,1.27,200,5,
1952-04-30 08:00:00,0.51,200,5,
1952-05-01 08:00:00,15.49,200,5,
1952-05-02 08:00:00,9.65,200,5,
1952-05-03 08:00:00,13.21,200,5,
1952-05-04 08:00:00,0,200,5,
1952-05-05 08:00:00,1.78,200,5,
1952-05-10 08:00:00,0,200,5,
1952-05-11 08:00:00,4.57,200,5,
1952-05-13 08:00:00,0,200,5,
1952-05-14 08:00:00,0.25,200,5,
1952-05-18 08:00:00,0,200,5,
1952-05-19 08:00:00,12.45,200,5,
1952-05-21 08:00:00,0,200,5,
1952-05-22 08:00:00,8.13,200,5,
1952-05-23 08:00:00,14.22,200,5,
1952-05-24 08:00:00,3.56,200,5,
1952-05-25 08:00:00,1.27,200,5,
1952-05-26 08:00:00,9.4,200,5,
1952-05-27 08:00:00,2.79,200,5,
1952-05-28 08:00:00,0.25,200,5,
1952-05-29 08:00:00,11.43,200,5,
1952-05-30 08:00:00,0,200,5,
1952-05-31 08:00:00,5.59,200,5,
1952-06-01 08:00:00,4.06,200,5,
1952-06-02 08:00:00,8.38,200,5,
1952-06-03 08:00:00,4.83,200,5,
1952-06-04 08:00:00,4.32,200,5,
1952-06-05 08:00:00,6.35,200,5,
1952-06-06 08:00:00,12.45,200,5,
1952-06-07 08:00:00,1.27,200,5,
1952-06-08 08:00:00,1.02,200,5,
1952-06-09 08:00:00,1.52,200,5,
1952-06-10 08:00:00,2.29,200,5,
1952-06-11 08:00:00,9.91,200,5,
1952-06-12 08:00:00,11.94,200,5,
1952-06-13 08:00:00,8.38,200,5,
1952-06-14 08:00:00,1.02,200,5,
1952-06-15 08:00:00,0.76,200,5,
1952-06-16 08:00:00,0.25,200,5,
1952-06-17 08:00:00,0,200,5,
1952-06-18 08:00:00,14.99,200,5,
1952-06-19 08:00:00,1.27,200,5,
1952-06-20 08:00:00,5.59,200,5,
1952-06-21 08:00:00,2.29,200,5,
1952-06-22 08:00:00,16.76,200,5,
1952-06-23 08:00:00,6.86,200,5,
1952-06-24 08:00:00,7.37,200,5,
1952-06-25 08:00:00,0,200,5,
1952-06-26 08:00:00,2.79,200,5,
1952-06-27 08:00:00,1.27,200,5,
1952-06-28 08:00:00,9.91,200,5,
1952-06-29 08:00:00,3.81,200,5,
1952-06-30 08:00:00,3.05,200,5,
1952-07-01 08:00:00,3.56,200,5,
1952-07-02 08:00:00,3.81,200,5,
1952-07-03 08:00:00,4.83,200,5,
1952-07-04 08:00:00,0.25,200,5,
1952-07-05 08:00:00,0,200,5,
1952-07-06 08:00:00,50.04,200,5,
1952-07-07 08:00:00,9.4,200,5,
1952-07-08 08:00:00,8.13,200,5,
1952-07-13 08:00:00,0,200,5,
1952-07-14 08:00:00,0.25,200,5,
1952-07-19 08:00:00,0,200,5,
1952-07-20 08:00:00,19.81,200,5,
1952-07-21 08:00:00,0.76,200,5,
1952-07-28 08:00:00,0,200,5,
1952-08-03 08:00:00,0,200,5,
1952-08-04 08:00:00,1.27,200,5,
1952-08-05 08:00:00,35.56,200,5,
1952-08-06 08:00:00,2.29,200,5,
1952-08-07 08:00:00,8.13,200,5,
1952-08-08 08:00:00,0,200,5,
1952-08-09 08:00:00,35.31,200,5,
1952-08-10 08:00:00,23.37,200,5,
1952-08-11 08:00:00,3.56,200,5,
1952-08-12 08:00:00,2.29,200,5,
1952-08-13 08:00:00,0,200,5,
1952-08-14 08:00:00,3.05,200,5,
1952-08-15 08:00:00,0.51,200,5,
1952-08-22 08:00:00,0,200,5,
1952-08-27 08:00:00,0,200,5,
1952-08-28 08:00:00,31.24,200,5,
1952-08-29 08:00:00,17.78,200,5,
1952-08-30 08:00:00,3.81,200,5,
1952-09-06 08:00:00,0,200,5,
1952-09-07 08:00:00,14.48,200,5,
1952-09-08 08:00:00,2.03,200,5,
1952-09-09 08:00:00,8.64,200,5,
1952-09-10 08:00:00,0.25,200,5,
1952-09-11 08:00:00,0,200,5,
1952-09-12 08:00:00,10.41,200,5,
1952-09-13 08:00:00,15.49,200,5,
1952-09-14 08:00:00,2.79,200,5,
1952-09-15 08:00:00,20.32,200,5,
1952-09-18 08:00:00,0,200,5,
1952-09-19 08:00:00,1.27,200,5,
1952-09-20 08:00:00,1.27,200,5,
1952-09-21 08:00:00,0,200,5,
1952-09-22 08:00:00,0.25,200,5,
1952-09-23 08:00:00,0,200,5,
1952-09-24 08:00:00,11.68,200,5,
1952-09-25 08:00:00,7.62,200,5,
1952-09-26 08:00:00,1.02,200,5,
1952-10-03 08:00:00,0,200,5,
1952-10-04 08:00:00,0,200,5,
1952-10-05 08:00:00,22.61,200,5,
1952-10-06 08:00:00,0,200,5,
1952-10-07 08:00:00,2.29,200,5,
1952-10-08 08:00:00,11.43,200,5,
1952-10-09 08:00:00,10.16,200,5,
1952-10-10 08:00:00,0.25,200,5,
1952-10-14 08:00:00,0,200,5,
1952-10-15 08:00:00,7.37,200,5,
1952-10-16 08:00:00,1.02,200,5,
1952-10-19 08:00:00,0,200,5,
1952-10-20 08:00:00,6.86,200,5,
1952-10-21 08:00:00,0,200,5,
1952-10-22 08:00:00,2.29,200,5,
1952-10-28 08:00:00,0,200,5,
1952-10-29 08:00:00,1.27,200,5,
1952-10-30 08:00:00,3.3,200,5,
1952-10-31 08:00:00,22.1,200,5,
1952-11-01 08:00:00,9.65,200,5,
1952-11-02 08:00:00,11.68,200,5,
1952-11-03 08:00:00,5.84,200,5,
1952-11-04 08:00:00,2.79,200,5,
1952-11-05 08:00:00,0.25,200,5,
1952-11-06 08:00:00,8.89,200,5,
1952-11-07 08:00:00,34.8,200,5,
1952-11-08 08:00:00,7.37,200,5,
1952-11-09 08:00:00,4.83,200,5,
1952-11-10 08:00:00,1.02,200,5,
1952-11-11 08:00:00,1.27,200,5,
1952-11-13 08:00:00,0,200,5,
1952-11-14 08:00:00,34.04,200,5,
1952-11-15 08:00:00,2.29,200,5,
1952-11-17 08:00:00,0,200,5,
1952-11-18 08:00:00,6.1,200,5,
1952-11-19 08:00:00,4.06,200,5,
1952-11-20 08:00:00,3.81,200,5,
1952-11-21 08:00:00,0,200,5,
1952-11-22 08:00:00,21.08,200,5,
1952-11-24 08:00:00,0,200,5,
1952-11-25 08:00:00,8.38,200,5,
1952-11-26 08:00:00,13.46,200,5,
1952-11-27 08:00:00,27.69,200,5,
1952-11-28 08:00:00,18.29,200,5,
1952-11-29 08:00:00,4.83,200,5,
1952-11-30 08:00:00,0,200,5,
1952-12-01 08:00:00,7.37,200,5,
1952-12-02 08:00:00,2.03,200,5,
1952-12-03 08:00:00,0,200,5,
1952-12-04 08:00:00,0.25,200,5,
1952-12-05 08:00:00,20.07,200,5,
1952-12-06 08:00:00,2.29,200,5,
1952-12-07 08:00:00,3.05,200,5,
1952-12-08 08:00:00,1.52,200,5,
1952-12-09 08:00:00,0.76,200,5,
1952-12-10 08:00:00,7.62,200,5,
1952-12-11 08:00:00,0.76,200,5,
1952-12-14 08:00:00,0,200,5,
1952-12-15 08:00:00,15.24,200,5,
1952-12-16 08:00:00,2.54,200,5,
1952-12-20 08:00:00,0,200,5,
1952-12-21 08:00:00,35.81,200,5,
1952-12-22 08:00:00,0,200,5,
1952-12-23 08:00:00,5.08,200,5,
1952-12-24 08:00:00,0.25,200,5,
1952-12-31 08:00:00,0,200,5,
1953-01-03 08:00:00,0,200,5,
1953-01-04 08:00:00,4.06,200,5,
1953-01-05 08:00:00,0,200,5,
1953-01-06 08:00:00,0.51,200,5,
1953-01-09 08:00:00,0,200,5,
1953-01-10 08:00:00,6.6,200,5,
1953-01-11 08:00:00,2.79,200,5,
1953-01-13 08:00:00,0,200,5,
1953-01-14 08:00:00,4.57,200,5,
1953-01-15 08:00:00,30.48,200,5,
1953-01-18 08:00:00,0,200,5,
1953-01-19 08:00:00,1.27,200,5,
1953-01-20 08:00:00,0,200,5,
1953-01-21 08:00:00,0.25,200,5,
1953-01-22 08:00:00,0,200,5,
1953-01-23 08:00:00,10.92,200,5,
1953-01-24 08:00:00,6.6,200,5,
1953-01-25 08:00:00,8.13,200,5,
1953-01-26 08:00:00,8.38,200,5,
1953-01-27 08:00:00,0,200,5,
1953-01-28 08:00:00,1.78,200,5,
1953-01-29 08:00:00,0,200,5,
1953-01-30 08:00:00,32.51,200,5,
1953-01-31 08:00:00,1.02,200,5,
1953-02-01 08:00:00,0,200,5,
1953-02-02 08:00:00,1.27,200,5,
1953-02-08 08:00:00,0,200,5,
1953-02-09 08:00:00,29.21,200,5,
1953-02-10 08:00:00,1.78,200,5,
1953-02-11 08:00:00,5.08,200,5,
1953-02-12 08:00:00,18.8,200,5,
1953-02-13 08:00:00,7.11,200,5,
1953-02-14 08:00:00,1.52,200,5,
1953-02-15 08:00:00,0,200,5,
1953-02-16 08:00:00,0.25,200,5,
1953-02-18 08:00:00,0,200,5,
1953-02-19 08:00:00,4.57,200,5,
1953-02-25 08:00:00,0,200,5,
1953-02-26 08:00:00,0.25,200,5,
1953-03-02 08:00:00,0,200,5,
1953-03-03 08:00:00,1.27,200,5,
1953-03-04 08:00:00,8.89,200,5,
1953-03-05 08:00:00,1.27,200,5,
1953-03-12 08:00:00,0,200,5,
1953-03-13 08:00:00,0,200,5,
1953-03-14 08:00:00,0.25,200,5,
1953-03-15 08:00:00,0,200,5,
1953-03-16 08:00:00,1.78,200,5,
1953-03-20 08:00:00,0,200,5,
1953-03-21 08:00:00,1.02,200,5,
1953-03-22 08:00:00,10.92,200,5,
1953-03-23 08:00:00,0.25,200,5,
1953-03-27 08:00:00,0,200,5,
1953-03-28 08:00:00,4.57,200,5,
1953-03-29 08:00:00,24.89,200,5,
1953-03-30 08:00:00,8.89,200,5,
1953-03-31 08:00:00,1.02,200,5,
1953-04-01 08:00:00,0,200,5,
1953-04-02 08:00:00,84.84,200,5,
1953-04-03 08:00:00,3.56,200,5,
1953-04-04 08:00:00,2.03,200,5,
1953-04-05 08:00:00,54.61,200,5,
1953-04-06 08:00:00,3.05,200,5,
1953-04-07 08:00:00,10.16,200,5,
1953-04-08 08:00:00,1.52,200,5,
1953-04-09 08:00:00,2.54,200,5,
1953-04-10 08:00:00,4.32,200,5,
1953-04-11 08:00:00,4.32,200,5,
1953-04-12 08:00:00,1.02,200,5,
1953-04-13 08:00:00,0.51,200,5,
1953-04-14 08:00:00,0.25,200,5,
1953-04-18 08:00:00,0,200,5,
1953-04-19 08:00:00,1.52,200,5,
1953-04-20 08:00:00,2.54,200,5,
1953-04-21 08:00:00,18.54,200,5,
1953-04-22 08:00:00,0,200,5,
1953-04-23 08:00:00,2.29,200,5,
1953-04-24 08:00:00,0.51,200,5,
1953-04-25 08:00:00,0,200,5,
1953-04-26 08:00:00,2.54,200,5,
1953-04-29 08:00:00,0,200,5,
1953-04-30 08:00:00,6.1,200,5,
1953-05-01 08:00:00,86.36,200,5,
1953-05-02 08:00:00,33.53,200,5,
1953-05-08 08:00:00,0,200,5,
1953-05-09 08:00:00,12.45,200,5,
1953-05-10 08:00:00,2.29,200,5,
1953-05-11 08:00:00,6.35,200,5,
1953-05-12 08:00:00,0.76,200,5,
1953-05-13 08:00:00,0,200,5,
1953-05-14 08:00:00,9.4,200,5,
1953-05-15 08:00:00,13.97,200,5,
1953-05-16 08:00:00,31.24,200,5,
1953-05-17 08:00:00,11.18,200,5,
1953-05-21 08:00:00,0,200,5,
1953-05-22 08:00:00,1.27,200,5,
1953-05-23 08:00:00,0,200,5,
1953-05-24 08:00:00,18.29,200,5,
1953-05-25 08:00:00,0,200,5,
1953-05-26 08:00:00,0.76,200,5,
1953-05-27 08:00:00,23.37,200,5,
1953-05-28 08:00:00,23.88,200,5,
1953-05-29 08:00:00,6.1,200,5,
1953-05-30 08:00:00,2.29,200,5,
1953-05-31 08:00:00,2.79,200,5,
1953-06-01 08:00:00,1.78,200,5,
1953-06-02 08:00:00,0,200,5,
1953-06-03 08:00:00,4.32,200,5,
1953-06-04 08:00:00,2.29,200,5,
1953-06-05 08:00:00,1.78,200,5,
1953-06-06 08:00:00,9.91,200,5,
1953-06-07 08:00:00,23.88,200,5,
1953-06-08 08:00:00,0,200,5,
1953-06-09 08:00:00,35.05,200,5,
1953-06-10 08:00:00,12.19,200,5,
1953-06-12 08:00:00,0,200,5,
1953-06-13 08:00:00,2.29,200,5,
1953-06-14 08:00:00,38.1,200,5,
1953-06-15 08:00:00,8.89,200,5,
1953-06-16 08:00:00,1.02,200,5,
1953-06-17 08:00:00,0,200,5,
1953-06-18 08:00:00,10.92,200,5,
1953-06-19 08:00:00,2.79,200,5,
1953-06-20 08:00:00,0.76,200,5,
1953-06-21 08:00:00,0,200,5,
1953-06-22 08:00:00,1.27,200,5,
1953-06-23 08:00:00,0,200,5,
1953-06-24 08:00:00,0.51,200,5,
1953-06-25 08:00:00,13.21,200,5,
1953-06-26 08:00:00,15.24,200,5,
1953-06-27 08:00:00,3.05,200,5,
1953-06-28 08:00:00,8.13,200,5,
1953-06-29 08:00:00,4.06,200,5,
1953-06-30 08:00:00,1.52,200,5,
1953-07-01 08:00:00,1.78,200,5,
1953-07-02 08:00:00,0.25,200,5,
1953-07-03 08:00:00,12.45,200,5,
1953-07-04 08:00:00,21.34,200,5,
1953-07-05 08:00:00,73.41,200,5,
1953-07-06 08:00:00,0.25,200,5,
1953-07-07 08:00:00,14.22,200,5,
1953-07-08 08:00:00,0.25,200,5,
1953-07-09 08:00:00,0,200,5,
1953-07-10 08:00:00,28.7,200,5,
1953-07-11 08:00:00,11.68,200,5,
1953-07-12 08:00:00,4.06,200,5,
1953-07-17 08:00:00,0,200,5,
1953-07-18 08:00:00,6.1,200,5,
1953-07-19 08:00:00,3.05,200,5,
1953-07-20 08:00:00,1.78,200,5,
1953-07-21 08:00:00,4.57,200,5,
1953-07-22 08:00:00,7.37,200,5,
1953-07-23 08:00:00,0.25,200,5,
1953-07-24 08:00:00,13.21,200,5,
1953-07-25 08:00:00,14.48,200,5,
1953-07-26 08:00:00,5.33,200,5,
1953-07-27 08:00:00,1.02,200,5,
1953-08-03 08:00:00,0,200,5,
1953-08-04 08:00:00,4.06,200,5,
1953-08-05 08:00:00,21.59,200,5,
